Localidad,Latitud,Longitud,Fuente
Adelaide,-34.9285,138.6007,Wikipedia/Geonames
Albany,-35.022778,117.881386,Wikipedia/Geonames
Albury,-36.0806,146.9156,Wikipedia/Geonames
AliceSprings,-23.6975,133.8836,Wikipedia/Geonames
BadgerysCreek,-33.87972,150.75222,Wikipedia/Geonames
Ballarat,-37.5622,143.8503,Wikipedia/Geonames
Bendigo,-36.757,144.2794,Wikipedia/Geonames
Brisbane,-27.4698,153.0251,Wikipedia/Geonames
Cairns,-16.9186,145.7781,Wikipedia/Geonames
Canberra,-35.2809,149.13,Wikipedia/Geonames
Cobar,-31.499,145.838,Wikipedia/Geonames
CoffsHarbour,-30.296276,153.114136,Wikipedia/Geonames
Dartmoor,-37.914389,141.273,Wikipedia/Geonames
Darwin,-12.4634,130.8456,Wikipedia/Geonames
GoldCoast,-28.000085,153.4144,Wikipedia/Geonames
Hobart,-42.8821,147.3272,Wikipedia/Geonames
Katherine,-14.465,132.2667,Wikipedia/Geonames
Launceston,-41.4332,147.1441,Wikipedia/Geonames
Melbourne,-37.8136,144.9631,Wikipedia/Geonames
MelbourneAirport,-37.663712,144.844788,Wikipedia/Geonames
Mildura,-34.206841,142.13649,Wikipedia/Geonames
Moree,-29.4653,149.8417,Wikipedia/Geonames
MountGambier,-37.824429,140.783783,Wikipedia/Geonames
MountGinini,-35.529523,148.772276,Wikipedia/Geonames
Newcastle,-32.9283,151.7817,Wikipedia/Geonames
Nhil,-36.332798,141.650346,Wikipedia/Geonames
NorahHead,-33.2833,151.5667,Wikipedia/Geonames
NorfolkIsland,-29.0328,167.956585,Wikipedia/Geonames
Nuriootpa,-34.467,138.995,Wikipedia/Geonames
PearceRAAF,-31.6677,116.009,Wikipedia/Geonames
Penrith,-33.751,150.6946,Wikipedia/Geonames
Perth,-31.9505,115.8605,Wikipedia/Geonames
PerthAirport,-31.936,115.964,Wikipedia/Geonames
Portland,-38.3333,141.6,Wikipedia/Geonames
Richmond,-33.6,150.75,Wikipedia/Geonames
Sale,-38.099998,147.066666,Wikipedia/Geonames
SalmonGums,-32.99,121.62,Wikipedia/Geonames
Sydney,-33.8688,151.2093,Wikipedia/Geonames
SydneyAirport,-33.947346,151.179428,Wikipedia/Geonames
Townsville,-19.259,146.8169,Wikipedia/Geonames
Tuggeranong,-35.4244,149.0888,Wikipedia/Geonames
Uluru,-25.3415,131.0354,Wikipedia/Geonames
WaggaWagga,-35.117275,147.356522,Wikipedia/Geonames
Walpole,-34.97623,116.731331,Wikipedia/Geonames
Watsonia,-37.711389,145.082778,Wikipedia/Geonames
Williamtown,-32.809,151.839,Wikipedia/Geonames
Witchcliffe,-34.02511,115.09999,Wikipedia/Geonames
Wollongong,-34.4278,150.8931,Wikipedia/Geonames
Woomera,-31.200317,136.825423,Wikipedia/Geonames
